"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0026125502","0103","2020-06-03T06:20:00.000","0","CAICEDONIA  - AUT","VALLE DEL CAUCA","CAICEDONIA","CAUCA","4.297558333","-75.86396111","Velocidad Viento (10 min)","m/s"
"0026125504","0103","2020-06-03T03:25:00.000","0.008487522","PARAGUAICITO  - AUT","QUINDÍO","BUENAVISTA","CAUCA","4.395555556","-75.73416667","Velocidad Viento (10 min)","m/s"
"0056015010","0103","2020-06-03T02:00:00.000","0.8","PR CHOCO: PANAMERICANA","CHOCÓ","BAHÍA SOLANO (MUTIS)","PACÍFICO - DIRECTOS","6.223","-77.404","Velocidad Viento (10 min)","m/s"
"2319500043","0103","2020-06-03T06:50:00.000","0.4","FLORIDABLANCA - AUT","SANTANDER","FLORIDABLANCA","MEDIO MAGDALENA","7.0568","-73.1094","Velocidad Viento (10 min)","m/s"
"0021205710","0103","2020-06-03T23:50:00.000","0.5","JARDIN BOTANICO  - AUT","BOGOTA","BOGOTA, D.C","ALTO MAGDALENA","4.669333333","-74.10266667","Velocidad Viento (10 min)","m/s"
"0024035380","0103","2020-06-03T20:10:00.000","9.1","NEVADO DEL COCUY - AUT","BOYACÁ","GUICÁN","SOGAMOSO","6.509111111","-72.31416667","Velocidad Viento (10 min)","m/s"
"0021255160","0103","2020-06-03T16:20:00.000","1.1","HACIENDA PAJONALES","TOLIMA","AMBALEMA","ALTO MAGDALENA","4.760722222","-74.83425","Velocidad Viento (10 min)","m/s"
"1602500110","0103","2020-06-03T11:20:00.000","1.5","ARBOLEDAS - AUT","NORTE DE SANTANDER","ARBOLEDAS","CATATUMBO","7.645111111","-72.799169444","Velocidad Viento (10 min)","m/s"
"0023105070","0103","2020-06-03T17:20:00.000","0.7","MACEO - AUT","ANTIOQUIA","YOLOMBÓ","MEDIO MAGDALENA","6.571638889","-74.79472222","Velocidad Viento (10 min)","m/s"
"0023190130","0103","2020-06-03T02:00:00.000","1.5","TONA  - AUT","SANTANDER","TONA","MEDIO MAGDALENA","7.196111111","-72.97055556","Velocidad Viento (10 min)","m/s"
"2613500126","0103","2020-06-03T06:20:00.000","0.8","POTREROS - AUT","RISARALDA","SANTA ROSA DE CABAL","CAUCA","4.885680556","-75.558080556","Velocidad Viento (10 min)","m/s"
"0023195240","0103","2020-06-03T02:30:00.000","0.4","AGUACHICA - AUT","CESAR","AGUACHICA","MEDIO MAGDALENA","8.123416667","-73.57986111","Velocidad Viento (10 min)","m/s"
"0029035000","0103","2020-06-03T14:20:00.000","1.6","SINCERIN  - AUT","BOLIVAR","ARJONA","BAJO MAGDALENA","10.14258333","-75.27827778","Velocidad Viento (10 min)","m/s"
"0028035070","0103","2020-06-03T14:20:00.000","2.8","GUATAPURI - AUT","CESAR","VALLEDUPAR","CESAR","10.73213889","-73.39241667","Velocidad Viento (10 min)","m/s"
"0021065501","0103","2020-06-03T05:30:00.000","0.8466933","JORGE VILLAMIL  - AUT","HUILA","GIGANTE","ALTO MAGDALENA","2.325552778","-75.50972222","Velocidad Viento (10 min)","m/s"
"3702500113","0103","2020-06-03T06:30:00.000","0.6","CAMPO HERMOSO - AUT","NORTE DE SANTANDER","TOLEDO","ARAUCA","7.099138889","-72.300419444","Velocidad Viento (10 min)","m/s"
"0013035501","0103","2020-06-03T22:00:00.000","0.9","APTO LOS GARZONES","CÓRDOBA","MONTERÍA","SINÚ","8.826","-75.825","Velocidad Viento (10 min)","m/s"
"1206500136","0103","2020-06-03T21:50:00.000","0.5","UNIVERSIDAD UNAD CARTAGENA - AUT","BOLIVAR","CARTAGENA DE INDIAS","CARIBE - LITORAL","10.400311111","-75.513280556","Velocidad Viento (10 min)","m/s"
"2403500081","0103","2020-06-03T14:10:00.000","5.7","SOTAQUIRÁ - AUT","BOYACÁ","SOTAQUIRÁ","SOGAMOSO","5.749661111","-73.234922222","Velocidad Viento (10 min)","m/s"
"3503500062","0103","2020-06-03T17:10:00.000","0.5","EL CALVARIO - AUT","META","EL CALVARIO","META","4.350355556","-73.711511111","Velocidad Viento (10 min)","m/s"
"2614500116","0103","2020-06-03T16:40:00.000","0.7","EL JARDIN CUENCA ALTA RIO RISARALDA - AUT","CALDAS","RIOSUCIO","CAUCA","5.532161111","-75.768947222","Velocidad Viento (10 min)","m/s"
"3206500059","0103","2020-06-03T21:30:00.000","0.4","VISTA HERMOSA - AUT","META","VISTAHERMOSA","GUAVIARE","3.099722222","-73.733611111","Velocidad Viento (10 min)","m/s"
"2120500050","0103","2020-06-03T01:50:00.000","1","PARAMO ALTO - AUT","CUNDINAMARCA","COGUA","ALTO MAGDALENA","5.158861111","-74.043444444","Velocidad Viento (10 min)","m/s"
"0023065506","0103","2020-06-03T14:00:00.000","2.921","BELLAVISTA  - AUT","CUNDINAMARCA","FACATATIVÁ","ALTO MAGDALENA","4.861","-74.405","Velocidad Viento (10 min)","m/s"
"0016035030","0103","2020-06-03T21:20:00.000","0.4","SARDINATA  - AUT","NORTE DE SANTANDER","SARDINATA","CATATUMBO","8.076666667","-72.80305556","Velocidad Viento (10 min)","m/s"
"3503500062","0103","2020-06-03T09:10:00.000","0.4","EL CALVARIO - AUT","META","EL CALVARIO","META","4.350355556","-73.711511111","Velocidad Viento (10 min)","m/s"
"0025025340","0103","2020-06-03T18:30:00.000","0.1","SAN MARCOS - AUT","SUCRE","SAN MARCOS","BAJO MAGDALENA- CAUCA -SAN JORGE","8.596833333","-75.14269444","Velocidad Viento (10 min)","m/s"
"0027015280","0103","2020-06-03T02:50:00.000","1.5","PARAMO BELMIRA - AUT","ANTIOQUIA","ENTRERRIOS","NECHÍ","6.632027778","-75.64444444","Velocidad Viento (10 min)","m/s"
"0026135501","0103","2020-06-03T04:15:00.000","0.5821234","EL PILAMO  - AUT","RISARALDA","PEREIRA","CAUCA","4.868333333","-75.79333333","Velocidad Viento (10 min)","m/s"
"0024035430","0103","2020-06-03T18:10:00.000","1.3","TUNGUAVITA - AUT","BOYACÁ","PAIPA","SOGAMOSO","5.745916667","-73.11636111","Velocidad Viento (10 min)","m/s"
"2604500134","0103","2020-06-03T00:50:00.000","0.5","TORIBIO ALERTAS   TORIBIO - AUT","CAUCA","TORIBÍO","CAUCA","2.952388889","-76.262083333","Velocidad Viento (10 min)","m/s"
"0025025350","0103","2020-06-03T18:10:00.000","1.2","PUERTA ROJA - AUT","SUCRE","SINCELEJO","BAJO MAGDALENA- CAUCA -SAN JORGE","9.316388889","-75.3875","Velocidad Viento (10 min)","m/s"
"0035085080","0103","2020-06-03T01:50:00.000","0.9","LA CAPILLA - AUT","BOYACÁ","LA CAPILLA","META","5.099194444","-73.436","Velocidad Viento (10 min)","m/s"
"0027015320","0103","2020-06-03T21:20:00.000","0.9","ARAGON - AUT","ANTIOQUIA","SANTA ROSA DE OSOS","NECHÍ","6.781083333","-75.560888889","Velocidad Viento (10 min)","m/s"
"0054025010","0103","2020-06-03T19:10:00.000","2.1","PR CHOCO: SAN JOSE PALMAR","CHOCÓ","SAN JOSÉ DEL PALMAR","SAN JUÁN","4.898","-76.232","Velocidad Viento (10 min)","m/s"
"0023195230","0103","2020-06-03T07:50:00.000","1.2","NEOMUNDO - AUT","SANTANDER","BUCARAMANGA","MEDIO MAGDALENA","7.102611111","-73.10730556","Velocidad Viento (10 min)","m/s"
"0035025501","0103","2020-06-03T04:30:00.000","0","QUETAME  - AUT","CUNDINAMARCA","QUETAME","META","4.297941667","-73.87238889","Velocidad Viento (10 min)","m/s"
"0024035390","0103","2020-06-03T19:10:00.000","3.8","PARAMO ALMORZADERO  - AUT","SANTANDER","CERRITO","SOGAMOSO","6.945388889","-72.69633333","Velocidad Viento (10 min)","m/s"
"0023205050","0103","2020-06-03T07:20:00.000","2.1","CANELOS  - AUT","BOLIVAR","SANTA ROSA DEL SUR","MEDIO MAGDALENA","7.885416667","-74.24097222","Velocidad Viento (10 min)","m/s"
"0052015050","0103","2020-06-03T09:40:00.000","1.3","BALBOA - AUT","CAUCA","BALBOA","PATÍA","2.032777778","-77.22166667","Velocidad Viento (10 min)","m/s"
"0014015080","0103","2020-06-03T00:10:00.000","1.6","AEROPUERTO RAFAEL NUNEZ","BOLIVAR","CARTAGENA DE INDIAS","CARIBE - LITORAL","10.44725","-75.51602778","Velocidad Viento (10 min)","m/s"
"0021237060","0103","2020-06-03T09:40:00.000","6.012","CORRALITOS PULI","CUNDINAMARCA","PULÍ","ALTO MAGDALENA","4.633","-74.65","Velocidad Viento (10 min)","m/s"
"0024015507","0103","2020-06-03T06:20:00.000","2.464","OJO DE AGUA  - AUT","CUNDINAMARCA","SIMIJACA","SOGAMOSO","5.392","-73.854","Velocidad Viento (10 min)","m/s"
"0051035020","0103","2020-06-03T10:50:00.000","0.8","CCCP DL PACIFICO","NARIÑO","TUMACO","MIRA","1.819166667","-78.73","Velocidad Viento (10 min)","m/s"
"0023065110","0103","2020-06-03T05:20:00.000","0.8","YACOPI  - AUT","CUNDINAMARCA","YACOPÍ","MEDIO MAGDALENA","5.484166667","-74.35458333","Velocidad Viento (10 min)","m/s"
"0023195200","0103","2020-06-03T20:10:00.000","2.5","CACHIRI  - AUT","SANTANDER","SURATÁ","MEDIO MAGDALENA","7.473888889","-72.99111111","Velocidad Viento (10 min)","m/s"
"0024015508","0103","2020-06-03T04:10:00.000","1.524","HACIENDA LA MESA  - AUT","CUNDINAMARCA","PASCA","ALTO MAGDALENA","4.308","-74.282","Velocidad Viento (10 min)","m/s"
"5311500056","0103","2020-06-03T15:40:00.000","1.3","UNIVERSIDAD DEL PACIFICO - AUT","VALLE DEL CAUCA","BUENAVENTURA","TAPAJE - DAGUA - DIRECTOS","3.848308333","-76.987016667","Velocidad Viento (10 min)","m/s"
"0023205050","0103","2020-06-03T15:50:00.000","2.6","CANELOS  - AUT","BOLIVAR","SANTA ROSA DEL SUR","MEDIO MAGDALENA","7.885416667","-74.24097222","Velocidad Viento (10 min)","m/s"
"0024055080","0103","2020-06-03T20:40:00.000","1","VIZCAINA LA LIZAMA  - AUT","SANTANDER","BARRANCABERMEJA","SOGAMOSO","6.982972222","-73.70488889","Velocidad Viento (10 min)","m/s"
"0021065501","0103","2020-06-03T07:50:00.000","0.4437011","JORGE VILLAMIL  - AUT","HUILA","GIGANTE","ALTO MAGDALENA","2.325552778","-75.50972222","Velocidad Viento (10 min)","m/s"
"0027015280","0103","2020-06-03T20:50:00.000","3.3","PARAMO BELMIRA - AUT","ANTIOQUIA","ENTRERRIOS","NECHÍ","6.632027778","-75.64444444","Velocidad Viento (10 min)","m/s"
"0054015010","0103","2020-06-03T13:50:00.000","0.7","PUEBLO RICO  - AUT","RISARALDA","PUEBLO RICO","SAN JUÁN","5.233444444","-76.03163889","Velocidad Viento (10 min)","m/s"
"2604500039","0103","2020-06-03T15:20:00.000","2.8","CORINTO - AUT","CAUCA","CORINTO","CAUCA","3.178611111","-76.252777778","Velocidad Viento (10 min)","m/s"
"0024030950","0103","2020-06-03T08:40:00.000","0.8","MALAGA 2","SANTANDER","MÁLAGA","SOGAMOSO","6.706388889","-72.72972222","Velocidad Viento (10 min)","m/s"
"0026015050","0103","2020-06-03T11:10:00.000","6.4","PALETARA  - AUT","CAUCA","PURACÉ (COCONUCO)","CAUCA","2.191722222","-76.48202778","Velocidad Viento (10 min)","m/s"
"0021205791","0103","2020-06-03T00:30:00.000","1.6","APTO EL DORADO - TX GPRS","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.706","-74.151","Velocidad Viento (10 min)","m/s"
"0024035410","0103","2020-06-03T15:50:00.000","1.6","SOGAMOSO - AUT","BOYACÁ","SOGAMOSO","SOGAMOSO","5.753333333","-72.91115278","Velocidad Viento (10 min)","m/s"
"0035085070","0103","2020-06-03T18:20:00.000","0.4","SANTA MARIA - AUT","BOYACÁ","SANTA MARÍA","META","4.84125","-73.25669444","Velocidad Viento (10 min)","m/s"
"2120500135","0103","2020-06-03T05:50:00.000","1","UNIVERSIDAD DE LA SABANA - AUT","CUNDINAMARCA","CHÍA","ALTO MAGDALENA","4.85475","-74.032669444","Velocidad Viento (10 min)","m/s"
"0025025280","0103","2020-06-03T10:00:00.000","0.6","EL TESORO IDEAM  - AUT","SUCRE","MORROA","BAJO MAGDALENA- CAUCA -SAN JORGE","9.357083333","-75.28925","Velocidad Viento (10 min)","m/s"
"0026175501","0103","2020-06-03T12:15:00.000","0","RAFAEL ESCOBAR  - AUT","CALDAS","SUPIA","CAUCA","5.45","-75.63305556","Velocidad Viento (10 min)","m/s"
"2403500081","0103","2020-06-03T12:50:00.000","4.3","SOTAQUIRÁ - AUT","BOYACÁ","SOTAQUIRÁ","SOGAMOSO","5.749661111","-73.234922222","Velocidad Viento (10 min)","m/s"
"0028025502","0103","2020-06-03T23:10:00.000","2.7","APTO ALFONSO LOPEZ","CESAR","VALLEDUPAR","CESAR","10.436","-73.248","Velocidad Viento (10 min)","m/s"
"2702500107","0103","2020-06-03T21:00:00.000","0.4","ANGOSTURA - AUT","ANTIOQUIA","ANGOSTURA","NECHÍ","6.900555556","-75.326019444","Velocidad Viento (10 min)","m/s"
"0021237060","0103","2020-06-03T12:20:00.000","3.765","CORRALITOS PULI","CUNDINAMARCA","PULÍ","ALTO MAGDALENA","4.633","-74.65","Velocidad Viento (10 min)","m/s"
"0021115501","0103","2020-06-03T06:35:00.000","0","TELLO  - AUT","HUILA","TELLO","ALTO MAGDALENA","2.960666667","-75.02849722","Velocidad Viento (10 min)","m/s"
"0029045190","0103","2020-06-03T10:10:00.000","2.6","APTO ERNESTO CORTIZOS TX GPRS","ATLÁNTICO","SOLEDAD","BAJO MAGDALENA","10.918","-74.78","Velocidad Viento (10 min)","m/s"
"0024035410","0103","2020-06-03T14:10:00.000","1.5","SOGAMOSO - AUT","BOYACÁ","SOGAMOSO","SOGAMOSO","5.753333333","-72.91115278","Velocidad Viento (10 min)","m/s"
"0021055501","0103","2020-06-03T02:25:00.000","1.028058","SIMON CAMPOS  - AUT","HUILA","LA PLATA","ALTO MAGDALENA","2.345830556","-75.87805556","Velocidad Viento (10 min)","m/s"
"0035075070","0103","2020-06-03T20:00:00.000","1.2","CHINAVITA - AUT","BOYACÁ","CHINAVITA","META","5.21925","-73.35038889","Velocidad Viento (10 min)","m/s"
"0024035250","0103","2020-06-03T08:20:00.000","1.6","CHITA  - AUT","BOYACÁ","CHITA","SOGAMOSO","6.188333333","-72.46633333","Velocidad Viento (10 min)","m/s"
"2613500126","0103","2020-06-03T19:50:00.000","1","POTREROS - AUT","RISARALDA","SANTA ROSA DE CABAL","CAUCA","4.885680556","-75.558080556","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2020-06-03T04:10:00.000","0.005779205","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0023085270","0103","2020-06-03T14:30:00.000","1.2","APTO J.M CORDOVA TX GPRS","ANTIOQUIA","RIONEGRO","MEDIO MAGDALENA","6.169","-75.426","Velocidad Viento (10 min)","m/s"
"0029035080","0103","2020-06-03T02:50:00.000","1","NORMAL MANATI  - AUT","ATLANTICO","MANATÍ","BAJO MAGDALENA","10.45358333","-74.95463889","Velocidad Viento (10 min)","m/s"
"0026065502","0103","2020-06-03T15:00:00.000","3.331904","TRINIDAD LA  - AUT","CAUCA","PIENDAMÓ","CAUCA","2.750555556","-76.57916667","Velocidad Viento (10 min)","m/s"
"0011045010","0103","2020-06-03T10:50:00.000","1.9","PR CHOCO: APTO EL CARANO","CHOCO","QUIBDÓ","ATRATO - DARIÉN","5.691","-76.644","Velocidad Viento (10 min)","m/s"
"0057015010","0103","2020-06-03T00:30:00.000","20.08","MALPELO - DIMAR","VALLE DEL CAUCA","BUENAVENTURA","BAUDÓ - DIRECTOS PACIFICO","4.096","-81.609","Velocidad Viento (10 min)","m/s"
"2319500043","0103","2020-06-03T04:50:00.000","0.7","FLORIDABLANCA - AUT","SANTANDER","FLORIDABLANCA","MEDIO MAGDALENA","7.0568","-73.1094","Velocidad Viento (10 min)","m/s"
"2306500106","0103","2020-06-03T10:30:00.000","3.6","ALTO DEL TRIGO - AUT","CUNDINAMARCA","GUADUAS","MEDIO MAGDALENA","5.001902778","-74.537586111","Velocidad Viento (10 min)","m/s"
"2603500127","0103","2020-06-03T16:30:00.000","0.6","REMOLINO ALERTAS - EL VOLCAN - AUT","CAUCA","EL TAMBO","CAUCA","2.542913889","-76.852061111","Velocidad Viento (10 min)","m/s"
"2319500125","0103","2020-06-03T12:00:00.000","1.9","POLIDEPORTIVO CACHIRA - AUT","NORTE DE SANTANDER","CÁCHIRA","MEDIO MAGDALENA","7.649638889","-73.178361111","Velocidad Viento (10 min)","m/s"
"0026125503","0103","2020-06-03T06:05:00.000","0.01243148","LA SIRENA  - AUT","VALLE DEL CAUCA","SEVILLA","CAUCA","4.285","-75.9025","Velocidad Viento (10 min)","m/s"
"0029065000","0103","2020-06-03T12:30:00.000","1.8","MEDIA LUNA - AUT","MAGDALENA","PIVIJAI","BAJO MAGDALENA","10.51002778","-74.50666667","Velocidad Viento (10 min)","m/s"
"0024015300","0103","2020-06-03T18:40:00.000","0.6","VILLA DE LEIVA  - AUT","BOYACÁ","VILLA DE LEIVA","SOGAMOSO","5.655833333","-73.54394444","Velocidad Viento (10 min)","m/s"
"0026125506","0103","2020-06-03T09:25:00.000","0.008506326","EL AGRADO  - AUT","QUINDÍO","MONTENEGRO","CAUCA","4.518333333","-75.7925","Velocidad Viento (10 min)","m/s"
"0035235050","0103","2020-06-03T12:20:00.000","3.5","PERENCO: TAMARA","CASANARE","TÁMARA","META","5.819","-72.167","Velocidad Viento (10 min)","m/s"
"2612500038","0103","2020-06-03T11:40:00.000","1","CRQ ARMENIA - AUT","QUINDÍO","CIRCASIA","CAUCA","4.556333333","-75.669555556","Velocidad Viento (10 min)","m/s"
"5311500056","0103","2020-06-03T19:30:00.000","1.1","UNIVERSIDAD DEL PACIFICO - AUT","VALLE DEL CAUCA","BUENAVENTURA","TAPAJE - DAGUA - DIRECTOS","3.848308333","-76.987016667","Velocidad Viento (10 min)","m/s"
"0021065501","0103","2020-06-03T02:50:00.000","1.007057","JORGE VILLAMIL  - AUT","HUILA","GIGANTE","ALTO MAGDALENA","2.325552778","-75.50972222","Velocidad Viento (10 min)","m/s"
"2403500085","0103","2020-06-03T12:30:00.000","3.2","SUSA - AUT","SANTANDER","ONZAGA","SOGAMOSO","6.187794444","-72.835602778","Velocidad Viento (10 min)","m/s"
"0023065501","0103","2020-06-03T03:30:00.000","0","PACHO  - AUT","CUNDINAMARCA","PACHO","MEDIO MAGDALENA","5.129127778","-74.15769722","Velocidad Viento (10 min)","m/s"
"0022045010","0103","2020-06-03T22:40:00.000","0.5","DEMOSTRACION GRANJA  - AUT","TOLIMA","CHAPARRAL","SALDAÑA","3.722444444","-75.50344444","Velocidad Viento (10 min)","m/s"
"0029015000","0103","2020-06-03T09:50:00.000","1.6","EL GUAMO - AUT","BOLIVAR","EL GUAMO","BAJO MAGDALENA","10.06444444","-74.85222222","Velocidad Viento (10 min)","m/s"
"2614500116","0103","2020-06-03T22:50:00.000","1.2","EL JARDIN CUENCA ALTA RIO RISARALDA - AUT","CALDAS","RIOSUCIO","CAUCA","5.532161111","-75.768947222","Velocidad Viento (10 min)","m/s"
"0021205517","0103","2020-06-03T07:40:00.000","0.32","PARQUE SOPO  - AUT","CUNDINAMARCA","SOPÓ","ALTO MAGDALENA","4.788","-74.05","Velocidad Viento (10 min)","m/s"
"0024015507","0103","2020-06-03T00:50:00.000","1.183","OJO DE AGUA  - AUT","CUNDINAMARCA","SIMIJACA","SOGAMOSO","5.392","-73.854","Velocidad Viento (10 min)","m/s"
"0026255030","0103","2020-06-03T16:00:00.000","3.2","SANTA ISABEL VALDIVIA - AUT","ANTIOQUIA","VALDIVIA","CAUCA","7.157277778","-75.44222222","Velocidad Viento (10 min)","m/s"
"0052015501","0103","2020-06-03T05:40:00.000","0.1669624","BALBOA  - AUT","CAUCA","BALBOA","PATÍA","2.125191667","-77.19266667","Velocidad Viento (10 min)","m/s"
"3701500114","0103","2020-06-03T23:50:00.000","1.4","CHINACOTA - AUT","NORTE DE SANTANDER","TOLEDO","ARAUCA","7.401216667","-72.550275","Velocidad Viento (10 min)","m/s"
"0023195090","0103","2020-06-03T01:50:00.000","1.8","VIVERO SURATA  - AUT","SANTANDER","SURATÁ","MEDIO MAGDALENA","7.365833333","-72.9875","Velocidad Viento (10 min)","m/s"
"0016025040","0103","2020-06-03T13:20:00.000","2.6","CINERA-VILLA OLGA","NORTE DE SANTANDER","CÚCUTA","CATATUMBO","8.167777778","-72.46861111","Velocidad Viento (10 min)","m/s"
"0016025503","0103","2020-06-03T17:05:00.000","0.1875566","GRAMALOTE  - AUT","NORTE DE SANTANDER","GRAMALOTE","CATATUMBO","7.923163889","-72.83375556","Velocidad Viento (10 min)","m/s"
"0023065160","0103","2020-06-03T07:30:00.000","1.05","ACOMODO EL","CUNDINAMARCA","LA VEGA","MEDIO MAGDALENA","5.017","-74.333","Velocidad Viento (10 min)","m/s"
"0024030950","0103","2020-06-03T16:30:00.000","1.2","MALAGA 2","SANTANDER","MÁLAGA","SOGAMOSO","6.706388889","-72.72972222","Velocidad Viento (10 min)","m/s"
"0023105070","0103","2020-06-03T22:40:00.000","0.9","MACEO - AUT","ANTIOQUIA","YOLOMBÓ","MEDIO MAGDALENA","6.571638889","-74.79472222","Velocidad Viento (10 min)","m/s"
"0047015100","0103","2020-06-03T09:20:00.000","2.2","EL ENCANO - AUT","NARIÑO","PASTO","PUTUMAYO","1.159944444","-77.16147222","Velocidad Viento (10 min)","m/s"
"0024015501","0103","2020-06-03T11:10:00.000","2.043637","BERTHA  - AUT","BOYACÁ","MONIQUIRÁ","SOGAMOSO","5.882777778","-73.57333056","Velocidad Viento (10 min)","m/s"
"2612500038","0103","2020-06-03T22:10:00.000","0.4","CRQ ARMENIA - AUT","QUINDÍO","CIRCASIA","CAUCA","4.556333333","-75.669555556","Velocidad Viento (10 min)","m/s"
"0021115501","0103","2020-06-03T15:55:00.000","0.8447162","TELLO  - AUT","HUILA","TELLO","ALTO MAGDALENA","2.960666667","-75.02849722","Velocidad Viento (10 min)","m/s"
"2308500068","0103","2020-06-03T13:00:00.000","0.3","SANTUARIO - AUT","ANTIOQUIA","SANTUARIO","MEDIO MAGDALENA","6.133027778","-75.275266667","Velocidad Viento (10 min)","m/s"
"0023195090","0103","2020-06-03T17:30:00.000","1.5","VIVERO SURATA  - AUT","SANTANDER","SURATÁ","MEDIO MAGDALENA","7.365833333","-72.9875","Velocidad Viento (10 min)","m/s"
"0023085260","0103","2020-06-03T15:50:00.000","1","LA SELVA - AUT","ANTIOQUIA","RIONEGRO","MEDIO MAGDALENA","6.131916667","-75.41455556","Velocidad Viento (10 min)","m/s"
"0026125505","0103","2020-06-03T14:15:00.000","1.976941","LA BELLA  - AUT","QUINDÍO","CALARCÁ","CAUCA","4.501111111","-75.67138889","Velocidad Viento (10 min)","m/s"
"0023055502","0103","2020-06-03T05:55:00.000","0","VILLARAZ  - AUT","CALDAS","PENSILVANIA","MEDIO MAGDALENA","5.383333333","-75.06638889","Velocidad Viento (10 min)","m/s"
"2403500082","0103","2020-06-03T20:00:00.000","1.8","SIACHOQUE - AUT","BOYACÁ","SIACHOQUE","SOGAMOSO","5.506097222","-73.251052778","Velocidad Viento (10 min)","m/s"
"0028025120","0103","2020-06-03T14:30:00.000","2.1","SERRANIA DEL PERIJA  - AUT","CESAR","AGUSTÍN CODAZZI","CESAR","10.02908333","-73.04619444","Velocidad Viento (10 min)","m/s"
"0024015508","0103","2020-06-03T22:00:00.000","2.14","HACIENDA LA MESA  - AUT","CUNDINAMARCA","PASCA","ALTO MAGDALENA","4.308","-74.282","Velocidad Viento (10 min)","m/s"
"0035075090","0103","2020-06-03T03:30:00.000","1.606","MACHETA - CHIVOR","CUNDINAMARCA","MACHETÁ","META","5.083","-73.65","Velocidad Viento (10 min)","m/s"
"0021205521","0103","2020-06-03T15:20:00.000","4.584","SANTA HELENA  - AUT","CUNDINAMARCA","LA CALERA","ALTO MAGDALENA","4.738","-73.936","Velocidad Viento (10 min)","m/s"
"0021205512","0103","2020-06-03T14:30:00.000","8.02","EL SOCHE  - AUT","BOGOTA","BOGOTA, D.C","ALTO MAGDALENA","4.469","-74.079","Velocidad Viento (10 min)","m/s"
"0021205940","0103","2020-06-03T12:00:00.000","2.3","VILLA INES  - AUT","CUNDINAMARCA","FACATATIVÁ","ALTO MAGDALENA","4.834972222","-74.38397222","Velocidad Viento (10 min)","m/s"
"3701500114","0103","2020-06-03T21:10:00.000","0.9","CHINACOTA - AUT","NORTE DE SANTANDER","TOLEDO","ARAUCA","7.401216667","-72.550275","Velocidad Viento (10 min)","m/s"
"0057025020","0103","2020-06-03T09:40:00.000","0.2","GORGONA GUAPI","CAUCA","GUAPI","GUAVIARE","2.963","-78.174","Velocidad Viento (10 min)","m/s"
"2302500064","0103","2020-06-03T16:30:00.000","1.2","MANZANARES - AUT","CALDAS","MANZANARES","MEDIO MAGDALENA","5.265055556","-75.143055556","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2020-06-03T15:45:00.000","1.362354","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"0023125140","0103","2020-06-03T18:00:00.000","0.8","AEROPUERTO FURATENA  - AUT","BOYACÁ","QUÍPAMA","MEDIO MAGDALENA","5.520833333","-74.18241667","Velocidad Viento (10 min)","m/s"
"0011050020","0103","2020-06-03T23:30:00.000","0.9","PR CHOCO: BETE","CHOCÓ","MEDIO ATRATO (BETÉ)","ATRATO - DARIÉN","5.995","-76.78","Velocidad Viento (10 min)","m/s"
"0026075501","0103","2020-06-03T01:40:00.000","0.005920161","FLORIDA  - AUT","VALLE DEL CAUCA","FLORIDA","CAUCA","3.291469444","-76.17735833","Velocidad Viento (10 min)","m/s"
"0035235010","0103","2020-06-03T12:30:00.000","4","CARDON EL","BOYACÁ","SOCOTÁ","META","6.012","-72.529","Velocidad Viento (10 min)","m/s"
"0016055120","0103","2020-06-03T02:50:00.000","0.5","AGUAS DE LA VIRGEN  - AUT","NORTE DE SANTANDER","OCAÑA","CATATUMBO","8.227694444","-73.3975","Velocidad Viento (10 min)","m/s"
"0023085270","0103","2020-06-03T15:50:00.000","0.7","APTO J.M CORDOVA TX GPRS","ANTIOQUIA","RIONEGRO","MEDIO MAGDALENA","6.169","-75.426","Velocidad Viento (10 min)","m/s"
"2403500041","0103","2020-06-03T21:30:00.000","1.4","DUITAMA - AUT","BOYACÁ","PAIPA","SOGAMOSO","5.78755","-73.081783333","Velocidad Viento (10 min)","m/s"
"0022025501","0103","2020-06-03T04:45:00.000","0.2692716","ATACO  - AUT","TOLIMA","ATACO","SALDAÑA","3.416666667","-75.63305556","Velocidad Viento (10 min)","m/s"
"0047015100","0103","2020-06-03T05:30:00.000","0.6","EL ENCANO - AUT","NARIÑO","PASTO","PUTUMAYO","1.159944444","-77.16147222","Velocidad Viento (10 min)","m/s"
"0016040050","0103","2020-06-03T07:10:00.000","0.6","LA MARIA - AUT","NORTE DE SANTANDER","ÁBREGO","CATATUMBO","7.934444444","-73.21166667","Velocidad Viento (10 min)","m/s"
"0027015280","0103","2020-06-03T22:20:00.000","2","PARAMO BELMIRA - AUT","ANTIOQUIA","ENTRERRIOS","NECHÍ","6.632027778","-75.64444444","Velocidad Viento (10 min)","m/s"
