"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"3507500133","0103","2020-06-03T18:50:00.000","0.9","TEATINOS - AUT","BOYACÁ","BOYACÁ","META","5.422822222","-73.375777778","Velocidad Viento (10 min)","m/s"
"0029065130","0103","2020-06-03T21:30:00.000","1.1","LA GRAN VIA - AUT","MAGDALENA","ZONA BANANERA","BAJO MAGDALENA","10.85","-74.13333333","Velocidad Viento (10 min)","m/s"
"0025025360","0103","2020-06-03T05:10:00.000","0.3","AEROPUERTO LAS FLORES  - AUT","MAGDALENA","EL BANCO","BAJO MAGDALENA","9.046333333","-73.97083333","Velocidad Viento (10 min)","m/s"
"0021165501","0103","2020-06-03T00:35:00.000","3.195607","DOLORES  - AUT","TOLIMA","DOLORES","ALTO MAGDALENA","3.537155556","-74.82982778","Velocidad Viento (10 min)","m/s"
"0023085270","0103","2020-06-03T02:30:00.000","1.1","APTO J.M CORDOVA TX GPRS","ANTIOQUIA","RIONEGRO","MEDIO MAGDALENA","6.169","-75.426","Velocidad Viento (10 min)","m/s"
"3702500113","0103","2020-06-03T01:20:00.000","0.8","CAMPO HERMOSO - AUT","NORTE DE SANTANDER","TOLEDO","ARAUCA","7.099138889","-72.300419444","Velocidad Viento (10 min)","m/s"
"0026145504","0103","2020-06-03T16:50:00.000","0","OSPIRMA  - AUT","RISARALDA","GUÁTICA","CAUCA","5.325552778","-75.812775","Velocidad Viento (10 min)","m/s"
"0026185501","0103","2020-06-03T01:55:00.000","0.008455942","SONSON  - AUT","ANTIOQUIA","SONSÓN","CAUCA","5.677719444","-75.34780556","Velocidad Viento (10 min)","m/s"
"0012015060","0103","2020-06-03T19:20:00.000","0.8","TULENAPA  - AUT","ANTIOQUIA","CAREPA","CARIBE - LITORAL","7.773944444","-76.66575","Velocidad Viento (10 min)","m/s"
"0023195090","0103","2020-06-03T11:50:00.000","1.6","VIVERO SURATA  - AUT","SANTANDER","SURATÁ","MEDIO MAGDALENA","7.365833333","-72.9875","Velocidad Viento (10 min)","m/s"
"0016025503","0103","2020-06-03T00:40:00.000","0.8343958","GRAMALOTE  - AUT","NORTE DE SANTANDER","GRAMALOTE","CATATUMBO","7.923163889","-72.83375556","Velocidad Viento (10 min)","m/s"
"0023065502","0103","2020-06-03T00:40:00.000","0.7125612","LA PALMA  - AUT","CUNDINAMARCA","LA PALMA","MEDIO MAGDALENA","5.330266667","-74.40156111","Velocidad Viento (10 min)","m/s"
"0024015501","0103","2020-06-03T09:00:00.000","1.703471","BERTHA  - AUT","BOYACÁ","MONIQUIRÁ","SOGAMOSO","5.882777778","-73.57333056","Velocidad Viento (10 min)","m/s"
"2501500120","0103","2020-06-03T23:40:00.000","1.5","JUAN JOSE - AUT","CORDOBA","PUERTO LIBERTADOR","BAJO MAGDALENA- CAUCA -SAN JORGE","7.730194444","-75.851580556","Velocidad Viento (10 min)","m/s"
"0035195060","0103","2020-06-03T14:50:00.000","4.4","PERENCO: TOQUILLA","BOYACÁ","AQUITANIA","META","5.524","-72.791","Velocidad Viento (10 min)","m/s"
