fecha	velocidad
2017-08-19 10:10:07	2.4
2017-08-19 10:20:07	2.9
2017-08-19 10:30:07	2.7
2017-08-19 10:40:07	2.8
2017-08-19 10:50:07	2.6
2017-08-19 11:00:07	2.3
2017-08-19 12:10:07	3.4
2017-08-19 12:20:07	3.2
2017-08-19 12:30:07	2.8
2017-08-19 12:40:07	3.5
2017-08-19 12:50:07	3.6
2017-08-19 13:00:07	2.4
2017-08-19 13:10:07	2.1
2017-08-19 13:20:07	2.2
2017-08-19 13:30:07	2.5
2017-08-19 13:40:07	1.9
2017-08-19 13:50:07	1.9
2017-08-19 14:00:07	2.2
2017-08-19 14:10:07	1.9
2017-08-19 14:20:07	1.4
2017-08-19 14:30:07	1.6
2017-08-19 14:40:07	1.1
2017-08-19 14:50:07	1.7
2017-08-19 15:00:07	3.3
2017-08-19 16:10:07	1.4
2017-08-19 16:20:07	1.6
2017-08-19 16:30:07	1.2
2017-08-19 16:40:07	1.6
2017-08-19 16:50:07	1.6
2017-08-19 18:10:07	1
2017-08-19 18:20:07	1.6
2017-08-19 18:30:07	1.7
2017-08-19 18:40:07	1.3
2017-08-19 18:50:07	1.4
2017-08-19 19:00:07	1
2017-08-19 19:10:07	1.1
2017-08-19 19:40:07	1.1
2017-08-19 20:10:07	1.3
2017-08-19 20:20:07	1.7
2017-08-19 20:30:07	1.2
2017-08-19 20:40:07	1
2017-08-19 20:50:07	1
2017-08-19 21:10:07	1.1
2017-08-19 21:20:07	1
2017-08-19 21:30:07	1.3
2017-08-19 21:40:07	1.4
2017-08-19 21:50:07	1.2
2017-08-19 22:00:07	1.2
2017-08-19 22:10:07	1.2
2017-08-19 22:20:07	1.3
2017-08-20 03:20:07	1.1
2017-08-20 03:30:07	1
2017-08-20 03:40:07	1.4
2017-08-20 03:50:07	1
2017-08-20 05:10:07	1.3
2017-08-20 05:20:07	1
2017-08-20 05:30:07	1
2017-08-20 05:40:07	1
2017-08-20 06:10:07	1.3
2017-08-20 06:20:07	1.5
2017-08-20 06:30:07	1.1
2017-08-20 07:20:07	1.6
2017-08-20 07:30:07	2
2017-08-20 07:40:07	2.1
2017-08-20 07:50:07	2
2017-08-20 08:00:07	1.9
2017-08-20 08:10:07	1.5
2017-08-20 08:20:07	1.3
2017-08-20 08:30:07	1.9
2017-08-20 08:40:07	2
2017-08-20 08:50:07	1.9
2017-08-20 09:00:07	2.7
2017-08-20 09:10:07	1.9
2017-08-20 09:20:07	2.3
2017-08-20 09:30:07	2.2
2017-08-20 09:40:07	2
2017-08-20 09:50:07	2.6
2017-08-20 10:00:07	2.4
2017-08-20 10:10:07	2.1
2017-08-20 10:20:07	2.5
2017-08-20 10:30:07	2.7
2017-08-20 10:40:07	2.6
2017-08-20 10:50:07	2.8
2017-08-20 11:00:07	2.6
2017-08-20 11:10:07	2.8
2017-08-20 11:20:07	2.6
2017-08-20 11:30:07	2.8
2017-08-20 11:40:07	2.5
2017-08-20 11:50:07	2.2
2017-08-20 12:00:07	2.8
2017-08-20 12:10:07	2.2
2017-08-20 12:20:07	2.9
2017-08-20 12:30:07	2.3
2017-08-20 12:40:07	3.4
2017-08-20 12:50:07	2.4
2017-08-20 13:00:07	2.7
2017-08-20 13:10:07	2.6
2017-08-20 13:20:07	2.3
2017-08-20 13:30:07	2.4
2017-08-20 13:40:07	2.3
2017-08-20 13:50:07	2.6
2017-08-20 14:00:07	2.7
2017-08-20 14:10:07	3.4
2017-08-20 14:20:07	3.9
2017-08-20 14:30:07	3.9
2017-08-20 14:40:07	3
2017-08-20 14:50:07	3.3
2017-08-20 15:00:07	4.2
2017-08-20 15:10:07	2.8
2017-08-20 15:20:07	3.5
2017-08-20 15:30:07	3.1
2017-08-20 15:40:07	2.9
2017-08-20 15:50:07	3.1
2017-08-20 16:00:07	3.1
2017-08-20 16:10:07	2.8
2017-08-20 16:20:07	2
2017-08-20 16:30:07	2
2017-08-20 16:40:07	2
2017-08-20 16:50:07	2.5
2017-08-20 17:00:07	2.5
2017-08-20 17:10:07	1.6
2017-08-20 17:20:07	1.7
2017-08-20 17:30:07	1.8
2017-08-20 17:40:07	1.5
2017-08-20 17:50:07	1.2
2017-08-20 18:00:07	1.3
2017-08-20 18:10:07	1.1
2017-08-20 18:30:07	1
2017-08-20 18:40:07	1.1
2017-08-20 19:10:07	1.2
2017-08-20 19:30:07	1
2017-08-20 20:50:07	1.1
2017-08-20 21:00:07	1.1
2017-08-20 21:10:07	1.4
2017-08-20 21:20:07	1
2017-08-20 21:30:07	1.4
2017-08-20 21:40:07	1
2017-08-20 21:50:07	1.3
2017-08-20 22:00:07	1.6
2017-08-20 22:10:07	1.3
2017-08-20 22:20:07	1.3
2017-08-20 22:30:07	1.2
2017-08-20 22:50:07	1
2017-08-20 23:20:07	1
2017-08-20 23:50:07	1
2017-08-21 00:40:07	1
2017-08-21 00:50:07	1
2017-08-21 01:30:07	1
2017-08-21 01:50:07	1
2017-08-21 02:00:07	1.1
2017-08-21 02:10:07	1.3
2017-08-21 02:20:07	1.1
2017-08-21 02:30:07	1
2017-08-21 02:50:07	1.3
2017-08-21 03:00:07	1.1
2017-08-21 03:10:07	1.1
2017-08-21 03:20:07	1.2
2017-08-21 03:30:07	1.2
2017-08-21 03:40:07	1.1
2017-08-21 03:50:07	1.3
2017-08-21 04:00:07	1.1
2017-08-21 04:10:07	1.2
2017-08-21 04:30:07	1.1
2017-08-21 04:40:07	1
2017-08-21 04:50:07	1.1
2017-08-21 05:10:07	1.2
2017-08-21 05:20:07	1.3
2017-08-21 05:30:07	1.6
2017-08-21 05:40:07	2
2017-08-21 05:50:07	1.7
2017-08-21 06:00:07	1.6
2017-08-21 06:10:07	1.6
2017-08-21 06:20:07	1.7
2017-08-21 06:30:07	1.8
2017-08-21 06:40:07	2.6
2017-08-21 06:50:07	2.1
2017-08-21 07:00:07	2.4
2017-08-21 07:10:07	2.8
2017-08-21 07:20:07	2.9
2017-08-21 07:30:07	3.2
2017-08-21 07:40:07	3.8
2017-08-21 07:50:07	2.9
2017-08-21 08:00:07	3.3
2017-08-21 08:10:07	4
2017-08-21 08:20:07	4.2
2017-08-21 08:30:07	4.7
2017-08-21 08:40:07	4.6
